nbVilles = 14;
nbAntennes = 4;

NomsVilles = ["Strasbourg", "Lille", "Paris", "Rennes", "Nantes", "Tours", "Clermont", "Lyon", "Bordeaux", "Toulouse", "Montpellier", "Marseille", "Toulon", "Nice"];

Distances =
[
[0, 552, 490, 833, 865, 694, 631, 493, 969, 971, 788, 799, 864, 784],
[552, 0, 225, 569, 605, 460, 645, 691, 805, 899, 968, 1000, 1065, 1158],
[490, 225, 0, 354, 386, 241, 426, 466, 590, 681, 748, 777, 839, 932],
[833, 569, 354, 0, 107, 252, 592, 738, 472, 699, 916, 1052, 1114, 1207],
[865, 605, 386, 107, 0, 208, 536, 685, 353, 586, 825, 987, 1050, 1143],
[694, 460, 241, 252, 208, 0, 339, 488, 355, 588, 664, 799, 862, 955],
[631, 645, 426, 592, 536, 339, 0, 166, 376, 378, 332, 474, 539, 632],
[493, 691, 466, 738, 685, 488, 166, 0, 556, 537, 303, 315, 378, 471],
[969, 805, 590, 472, 353, 355, 376, 556, 0, 246, 486, 647, 709, 802],
[971, 899, 681, 699, 586, 588, 378, 537, 246, 0, 244, 405, 467, 560],
[788, 968, 748, 916, 825, 664, 332, 303, 486, 244, 0, 168, 233, 326],
[799, 1000, 777, 1052, 987, 799, 474, 315, 647, 405, 168, 0, 65, 205],
[864, 1065, 839, 1114, 1050, 862, 539, 378, 709, 467, 233, 65, 0, 150],
[784, 1158, 932, 1207, 1143, 955, 632, 471, 802, 560, 326, 205, 150, 0]
];
